"Rk","Tm","Player","College","MP_T","VORP","Year"
51,"MIA","Corey Brewer","University of Oklahoma",NA,NA,1998
52,"SAS","Derrick Dial","Eastern Michigan University",687,-0.3,1998
53,"DAL","Greg Buckner","Clemson University",10895,5.8,1998
54,"DEN","Tremaine Fowlkes","California State University, Fresno",1233,0,1998
55,"DEN","Ryan Bowen","University of Iowa",6502,3.3,1998
56,"VAN","J.R. Henderson","University of California, Los Angeles",331,-0.3,1998
57,"UTA","Torraye Braggs","Xavier University",178,-0.1,1998
58,"CHI","Maceo Baston","University of Michigan",831,0.1,1998
1,"CHI","Elton Brand","Duke University",34910,45.2,1999
2,"VAN","Steve Francis","University of Maryland",21632,28.2,1999
3,"CHH","Baron Davis","University of California, Los Angeles",28592,34.1,1999
4,"LAC","Lamar Odom","University of Rhode Island",32131,36.3,1999
5,"TOR","Jonathan Bender","High School",3847,-1.5,1999
6,"MIN","Wally Szczerbiak","Miami University",20052,12.8,1999
7,"WAS","Richard Hamilton","University of Connecticut",29559,10.5,1999
8,"CLE","Andre Miller","University of Utah",40268,31.7,1999
9,"PHO","Shawn Marion","University of Nevada, Las Vegas",40097,52.1,1999
10,"ATL","Jason Terry","University of Arizona",41220,34.1,1999
11,"CLE","Trajan Langdon","Duke University",1738,0.1,1999
12,"TOR","Aleksandar Radojevic","Barton County Community College",152,-0.3,1999
13,"SEA","Corey Maggette","Duke University",23358,9.5,1999
14,"MIN","William Avery","Duke University",1205,-1.6,1999
15,"NYK","Frederic Weis","International",NA,NA,1999
16,"CHI","Metta World Peace","St. John's University",31440,29.9,1999
17,"ATL","Cal Bowdler","Old Dominion University",1383,-0.9,1999
18,"DEN","James Posey","Xavier University",23260,18.8,1999
19,"UTA","Quincy Lewis","University of Minnesota",1853,-0.9,1999
20,"ATL","Dion Glover","Georgia Institute of Technology",6132,-0.7,1999
21,"GSW","Jeff Foster","Texas State University",15750,13,1999
22,"HOU","Kenny Thomas","University of New Mexico",17306,6.6,1999
23,"LAL","Devean George","Augsburg College",11682,2.5,1999
24,"UTA","Andrei Kirilenko","International",23916,42.4,1999
25,"MIA","Tim James","University of Miami",261,-0.3,1999
26,"IND","Vonteego Cummings","University of Pittsburgh",3789,-0.9,1999
27,"ATL","Jumaine Jones","University of Georgia",9780,2.4,1999
28,"UTA","Scott Padgett","University of Kentucky",5613,2.7,1999
29,"SAS","Leon Smith","High School",104,-0.1,1999
30,"LAL","John Celestand","Villanova University",185,-0.3,1999
31,"LAC","Rico Hill","Illinois State University",NA,NA,1999
32,"CHI","Michael Ruffin","University of Tulsa",5966,1.2,1999
33,"DEN","Chris Herren","California State University, Fresno",1005,-0.9,1999
34,"NJN","Evan Eschmeyer","Northwestern University",2138,0.5,1999
35,"WAS","Calvin Booth","Pennsylvania State University",4477,0.8,1999
36,"DAL","Wang Zhizhi","International",1256,-0.7,1999
37,"VAN","Obinna Ekezie","University of Maryland",1516,-1.5,1999
38,"ORL","Laron Profit","University of Maryland",1537,-0.5,1999
39,"CLE","A.J. Bramlett","University of Arizona",61,-0.2,1999
40,"DAL","Gordan Giricek","International",8824,-2.5,1999
41,"DEN","Francisco Elson","University of California",7207,0.8,1999
42,"MIN","Louis Bullock","University of Michigan",NA,NA,1999
43,"CHH","Lee Nailon","Texas Christian University",5820,-1.5,1999
44,"HOU","Tyrone Washington","Mississippi State University",NA,NA,1999
45,"SAC","Ryan Robertson","University of Kansas",25,0,1999
46,"NYK","J.R. Koch","University of Iowa",NA,NA,1999
47,"PHI","Todd MacCulloch","University of Washington",3439,1.9,1999
48,"MIL","Galen Young","University of North Carolina at Charlotte",NA,NA,1999
49,"CHI","Lari Ketner","University of Massachusetts Amherst",139,-0.3,1999
50,"HOU","Venson Hamilton","University of Nebraska",NA,NA,1999
51,"VAN","Antwain Smith","Saint Paul's College",NA,NA,1999
52,"POR","Roberto Bergersen","Boise State University",NA,NA,1999
53,"MIA","Rodney Buford","Creighton University",4182,-2.8,1999
54,"DET","Melvin Levett","University of Cincinnati",NA,NA,1999
55,"BOS","Kris Clack","University of Texas at Austin",NA,NA,1999
56,"GSW","Tim Young","Stanford University",137,-0.2,1999
57,"SAS","Manu Ginobili","International",25560,46.8,1999
58,"UTA","Eddie Lucas","Virginia Polytechnic Institute and State University",NA,NA,1999
1,"NJN","Kenyon Martin","University of Cincinnati",23134,15.5,2000
2,"VAN","Stromile Swift","Louisiana State University",10804,0.2,2000
3,"LAC","Darius Miles","High School",11730,2.3,2000
4,"CHI","Marcus Fizer","Iowa State University",6032,-4.1,2000
5,"ORL","Mike Miller","University of Florida",27812,20.3,2000
6,"ATL","DerMarr Johnson","University of Cincinnati",5930,0.6,2000
7,"CHI","Chris Mihm","University of Texas at Austin",8758,-4.1,2000
8,"CLE","Jamal Crawford","University of Michigan",36124,10.9,2000
9,"HOU","Joel Przybilla","University of Minnesota",11733,3.3,2000
10,"ORL","Keyon Dooling","University of Missouri",14134,-3.6,2000
11,"BOS","Jerome Moiso","University of California, Los Angeles",1392,-0.6,2000
12,"DAL","Etan Thomas","Syracuse University",7084,-1,2000
13,"ORL","Courtney Alexander","California State University, Fresno",4067,-2.1,2000
14,"DET","Mateen Cleaves","Michigan State University",1863,-2,2000
15,"MIL","Jason Collier","Georgia Institute of Technology",2178,-2.3,2000
16,"SAC","Hedo Turkoglu","International",26695,21.4,2000
17,"SEA","Desmond Mason","Oklahoma State University",19641,-1.9,2000
18,"LAC","Quentin Richardson","DePaul University",20785,8.9,2000
19,"CHH","Jamaal Magloire","University of Kentucky",14621,-3.3,2000
20,"PHI","Speedy Claxton","Hofstra University",8548,2.8,2000
21,"TOR","Morris Peterson","Michigan State University",19366,9.7,2000
22,"NYK","Donnell Harvey","University of Florida",3318,-0.6,2000
23,"UTA","DeShawn Stevenson","High School",18396,-4.6,2000
24,"CHI","Dalibor Bagaric","International",973,-1.2,2000
25,"PHO","Jake Tsakalidis","International",5005,-1.3,2000
26,"DEN","Mamadou N'Diaye","Auburn University",858,-0.7,2000
27,"IND","Primoz Brezec","International",6192,-0.8,2000
28,"POR","Erick Barkley","St. John's University",266,-0.1,2000
29,"LAL","Mark Madsen","Stanford University",5335,-0.2,2000
30,"LAC","Marko Jaric","International",11246,4.3,2000
31,"DAL","Dan Langhi","Vanderbilt University",1253,-1.5,2000
32,"CHI","A.J. Guyton","Indiana University",1246,-1.1,2000
33,"CHI","Jake Voskuhl","University of Connecticut",6443,-0.3,2000
34,"CHI","Khalid El-Amin","University of Connecticut",936,-0.4,2000
35,"WAS","Mike Smith","University of Louisiana at Monroe",180,-0.2,2000
36,"NJN","Soumaila Samake","International",303,-0.3,2000
37,"MIA","Eddie House","Arizona State University",12405,1.6,2000
38,"HOU","Eduardo Najera","University of Oklahoma",11213,6.4,2000
39,"NYK","Lavor Postell","St. John's University",446,-0.7,2000
40,"ATL","Hanno Mottola","University of Utah",2360,-2.3,2000
41,"SAS","Chris Carrawell","Duke University",NA,NA,2000
42,"SEA","Olumide Oyedeji","International",587,-0.4,2000
43,"MIL","Michael Redd","Ohio State University",20104,14.9,2000
44,"DET","Brian Cardinal","Purdue University",6477,4.5,2000
45,"SAC","Jabari Smith","Louisiana State University",1063,-0.5,2000
46,"TOR","DeeAndre Hulett","College of the Sequoias",NA,NA,2000
47,"SEA","Josip Sesar","International",NA,NA,2000
48,"PHI","Mark Karcher","Temple University",NA,NA,2000
49,"MIL","Jason Hart","Syracuse University",5289,0.3,2000
50,"UTA","Kaniel Dickens","University of Idaho",85,-0.1,2000
51,"MIN","Igor Rakocevic","International",244,-0.3,2000
52,"MIA","Ernest Brown","Indian Hills Community College",21,-0.1,2000
53,"DEN","Dan McClintock","Northern Arizona University",58,-0.1,2000
54,"SAS","Cory Hightower","Indian Hills Community College",NA,NA,2000
55,"GSW","Chris Porter","Auburn University",1147,-0.8,2000
56,"IND","Jaquay Walls","University of Colorado",NA,NA,2000
57,"ATL","Scoonie Penn","Ohio State University",NA,NA,2000
58,"DAL","Pete Mickeal","University of Cincinnati",NA,NA,2000
1,"WAS","Kwame Brown","High School",13389,-0.4,2001
2,"LAC","Tyson Chandler","High School",29372,26.7,2001
3,"ATL","Pau Gasol","International",38829,54.2,2001
4,"CHI","Eddy Curry","High School",13109,-5,2001
5,"GSW","Jason Richardson","Michigan State University",29241,24.4,2001
6,"MEM","Shane Battier","Duke University",30004,37,2001
7,"NJN","Eddie Griffin","Seton Hall University",6729,1.7,2001
8,"CLE","DeSagana Diop","International",8403,4.3,2001
9,"DET","Rodney White","University of North Carolina at Charlotte",3354,-1.5,2001
10,"BOS","Joe Johnson","University of Arkansas",43029,27,2001
11,"BOS","Kedrick Brown","Okaloosa-Walton Community College",1935,-0.1,2001
12,"SEA","Vladimir Radmanovic","International",16164,7.7,2001
13,"HOU","Richard Jefferson","University of Arizona",34130,20,2001
14,"GSW","Troy Murphy","University of Notre Dame",19921,9.5,2001
15,"ORL","Steven Hunter","DePaul University",5993,-1.3,2001
16,"CHH","Kirk Haston","Indiana University",134,-0.4,2001
17,"TOR","Michael Bradley","Villanova University",2016,-0.9,2001
18,"HOU","Jason Collins","Stanford University",14974,0.2,2001
19,"POR","Zach Randolph","Michigan State University",33108,13.5,2001
20,"CLE","Brendan Haywood","University of North Carolina",18680,8.4,2001
21,"BOS","Joseph Forte","University of North Carolina",125,-0.3,2001
22,"ORL","Jeryl Sasser","Southern Methodist University",1061,-0.2,2001
23,"HOU","Brandon Armstrong","Pepperdine University",699,-1.2,2001
24,"UTA","Raul Lopez","International",2135,-0.8,2001
25,"SAC","Gerald Wallace","University of Alabama",24731,27.3,2001
26,"PHI","Samuel Dalembert","Seton Hall University",21646,7.2,2001
27,"MEM","Jamaal Tinsley","Iowa State University",14443,5.7,2001
28,"SAS","Tony Parker","International",36205,27.1,2001
29,"CHI","Trenton Hassell","Austin Peay State University",16278,-1.3,2001
30,"GSW","Gilbert Arenas","University of Arizona",19351,24.1,2001
31,"ORL","Omar Cook","St. John's University",213,-0.2,2001
32,"MEM","Will Solomon","Clemson University",1584,-1.1,2001
33,"ATL","Terence Morris","University of Maryland",1934,-0.8,2001
34,"NJN","Brian Scalabrine","University of Southern California",6772,-1.1,2001
35,"CLE","Jeff Trepagnier","University of Southern California",270,-0.2,2001
36,"PHI","Damone Brown","Syracuse University",351,-0.7,2001
37,"DET","Mehmet Okur","International",18429,15.7,2001
38,"NYK","Michael Wright","University of Arizona",NA,NA,2001
39,"SEA","Earl Watson","University of California, Los Angeles",19494,1,2001
40,"IND","Jamison Brewer","Auburn University",468,-0.3,2001
41,"SEA","Bobby Simmons","DePaul University",11513,5.4,2001
42,"NYK","Eric Chenowith","University of Kansas",NA,NA,2001
43,"DAL","Kyle Hill","Eastern Illinois University",NA,NA,2001
44,"CHI","Sean Lampley","University of California",550,-0.2,2001
45,"MIN","Loren Woods","University of Arizona",2428,-0.6,2001
46,"DEN","Ousmane Cisse","International",NA,NA,2001
47,"MEM","Antonis Fotsis","International",320,-0.2,2001
48,"MIA","Ken Johnson","Ohio State University",156,-0.3,2001
49,"POR","Ruben Boumtje-Boumtje","Georgetown University",276,-0.2,2001
50,"PHO","Alton Ford","University of Houston",524,-0.6,2001
51,"MIL","Andre Hutson","Michigan State University",NA,NA,2001
52,"UTA","Jarron Collins","Stanford University",8542,0.5,2001
53,"DAL","Kenny Satterfield","University of Cincinnati",1062,-1.1,2001
54,"SAC","Maurice Jeffers","Saint Louis University",NA,NA,2001
55,"SAS","Robertas Javtokas","International",NA,NA,2001
56,"PHI","Alvin Jones","Georgia Institute of Technology",126,-0.1,2001
57,"SAS","Bryan Bracey","University of Oregon",NA,NA,2001
1,"HOU","Yao Ming","International",15818,17,2002
2,"CHI","Jay Williams","Duke University",1961,-0.1,2002
3,"GSW","Mike Dunleavy","Duke University",27340,15.9,2002
4,"MEM","Drew Gooden","University of Kansas",20127,2.3,2002
5,"DEN","Nikoloz Tskitishvili","International",1946,-2.1,2002
6,"CLE","Dajuan Wagner","University of Memphis",2202,-2,2002
7,"NYK","Nene Hilario","International",23933,24.1,2002
8,"LAC","Chris Wilcox","University of Maryland",12474,1.2,2002
9,"PHO","Amar'e Stoudemire","High School",26254,16.8,2002
10,"MIA","Caron Butler","University of Connecticut",28333,15.9,2002
11,"WAS","Jared Jeffries","Indiana University",13579,3.8,2002
12,"LAC","Melvin Ely","California State University, Fresno",6005,-2.4,2002
13,"MIL","Marcus Haislip","University of Tennessee",854,-0.9,2002
14,"IND","Fred Jones","University of Oregon",10299,2.8,2002
15,"HOU","Bostjan Nachbar","International",5628,-0.4,2002
16,"PHI","Jiri Welsch","International",4596,-0.1,2002
17,"WAS","Juan Dixon","University of Maryland",8509,-2.1,2002
18,"ORL","Curtis Borchardt","Stanford University",1117,-0.1,2002
19,"UTA","Ryan Humphrey","University of Notre Dame",772,-1.1,2002
20,"TOR","Kareem Rush","University of Missouri",5956,-3.2,2002
21,"POR","Qyntel Woods","Northeast Mississippi Community College",2060,-0.5,2002
22,"PHO","Casey Jacobsen","Stanford University",5320,-0.4,2002
23,"DET","Tayshaun Prince","University of Kentucky",31576,16.6,2002
24,"NJN","Nenad Krstic","International",10547,-1.5,2002
25,"DEN","Frank Williams","University of Illinois at Urbana-Champaign",952,-0.7,2002
26,"SAS","John Salmons","University of Miami",23672,5.8,2002
27,"LAL","Chris Jefferies","California State University, Fresno",861,-0.9,2002
28,"SAC","Dan Dickau","Gonzaga University",4617,-0.4,2002
29,"GSW","Steve Logan","University of Cincinnati",NA,NA,2002
30,"CHI","Roger Mason","University of Virginia",9147,0.5,2002
31,"MEM","Robert Archibald","University of Illinois at Urbana-Champaign",328,-0.2,2002
32,"DEN","Vincent Yarbrough","University of Tennessee",1381,-0.1,2002
33,"MIL","Dan Gadzuric","University of California, Los Angeles",7793,1.3,2002
34,"CLE","Carlos Boozer","Duke University",26901,22.1,2002
35,"NYK","Milos Vujanic","International",NA,NA,2002
36,"ATL","David Andersen","International",1264,-0.7,2002
37,"HOU","Tito Maddox","California State University, Fresno",35,0,2002
38,"WAS","Rod Grizzard","University of Alabama",NA,NA,2002
39,"WAS","Juan Carlos Navarro","International",2117,-0.1,2002
40,"LAC","Mario Kasun","International",569,-0.6,2002
41,"MIL","Ronald Murray","Shaw University",11077,-2.6,2002
42,"POR","Jason Jennings","Arkansas State University",NA,NA,2002
43,"CHI","Lonny Baxter","University of Maryland",1884,-1.5,2002
44,"PHI","Sam Clancy","University of Southern California",NA,NA,2002
45,"MEM","Matt Barnes","University of California, Los Angeles",21967,16.7,2002
46,"UTA","Jamal Sampson","University of California",631,0,2002
47,"MIL","Chris Owens","University of Texas at Austin",6,0,2002
48,"SEA","Peter Fehse","International",NA,NA,2002
49,"BOS","Darius Songaila","Wake Forest University",9229,0.7,2002
50,"POR","Federico Kammerichs","International",NA,NA,2002
51,"MIN","Marcus Taylor","Michigan State University",NA,NA,2002
52,"MIA","Rasual Butler","La Salle University",17219,-0.4,2002
53,"NJN","Tamar Slay","Marshall University",517,-0.5,2002
54,"DAL","Mladen Sekularac","International",NA,NA,2002
55,"SAS","Luis Scola","",19001,7.2,2002
56,"SAS","Randy Holcomb","San Diego State University",11,0,2002
57,"SAC","Corsley Edwards","Central Connecticut State University",110,-0.1,2002
1,"CLE","LeBron James","High School",41272,115.9,2003
2,"DET","Darko Milicic","International",8638,0.8,2003
3,"DEN","Carmelo Anthony","Syracuse University",35334,29.4,2003
4,"TOR","Chris Bosh","Georgia Institute of Technology",31936,27.5,2003
5,"MIA","Dwyane Wade","Marquette University",32352,57.8,2003
6,"LAC","Chris Kaman","Central Michigan University",19642,0,2003
7,"CHI","Kirk Hinrich","University of Kansas",27015,14.7,2003
8,"MIL","T.J. Ford","University of Texas at Austin",11882,3.6,2003
9,"NYK","Mike Sweetney","Georgetown University",3610,-0.1,2003
10,"WAS","Jarvis Hayes","University of Georgia",9898,-2.2,2003
11,"GSW","Mickael Pietrus","International",11950,3.4,2003
12,"SEA","Nick Collison","University of Kansas",18528,11.4,2003
13,"MEM","Marcus Banks","University of Nevada, Las Vegas",5571,-0.6,2003
14,"SEA","Luke Ridnour","University of Oregon",21623,5.8,2003
15,"ORL","Reece Gaines","University of Louisville",605,-0.9,2003
16,"BOS","Troy Bell","Boston College",34,-0.1,2003
17,"PHO","Zarko Cabarkapa","International",1550,-1.3,2003
18,"NOH","David West","Xavier University",28145,24.5,2003
19,"UTA","Sasha Pavlovic","International",8888,-3.2,2003
20,"BOS","Dahntay Jones","Duke University",9799,-4.1,2003
21,"ATL","Boris Diaw","International",28768,19.5,2003
22,"NJN","Zoran Planinic","International",1584,-0.9,2003
23,"POR","Travis Outlaw","High School",13026,-0.9,2003
24,"LAL","Brian Cook","University of Illinois at Urbana-Champaign",5649,-0.6,2003
25,"DET","Carlos Delfino","International",11580,8.1,2003
26,"MIN","Ndudi Ebi","International",86,-0.1,2003
27,"MEM","Kendrick Perkins","High School",17147,7,2003
28,"SAS","Leandro Barbosa","International",18386,7.4,2003
29,"DAL","Josh Howard","Wake Forest University",15350,10.3,2003
30,"NYK","Maciej Lampe","International",632,-1.1,2003
31,"CLE","Jason Kapono","University of California, Los Angeles",9068,-2.3,2003
32,"LAL","Luke Walton","University of Arizona",9685,1.9,2003
33,"MIA","Jerome Beasley","University of North Dakota",5,0,2003
34,"LAC","Sofoklis Schortsanitis","International",NA,NA,2003
35,"MIL","Szymon Szewczyk","International",NA,NA,2003
36,"CHI","Mario Austin","Mississippi State University",NA,NA,2003
37,"ATL","Travis Hansen","Brigham Young University",507,-0.4,2003
38,"WAS","Steve Blake","University of Maryland",20823,1.3,2003
39,"NYK","Slavko Vranes","International",3,0,2003
40,"GSW","Derrick Zimmerman","Mississippi State University",32,-0.1,2003
41,"SEA","Willie Green","University of Detroit Mercy",14783,-5.9,2003
42,"ORL","Zaza Pachulia","International",20390,8.4,2003
43,"MIL","Keith Bogans","University of Kentucky",14527,4.5,2003
44,"HOU","Malick Badiane","International",NA,NA,2003
45,"CHI","Matt Bonner","University of Florida",13356,10.1,2003
46,"DEN","Sani Becirovic","International",NA,NA,2003
47,"UTA","Mo Williams","University of Alabama",23872,8.9,2003
48,"NOH","James Lang","International",55,0,2003
49,"IND","James Jones","University of Miami",11098,4,2003
50,"PHI","Paccelis Morlende","International",NA,NA,2003
51,"NJN","Kyle Korver","Creighton University",27315,20.1,2003
52,"TOR","Remon Van de Hare","International",NA,NA,2003
53,"CHI","Tommy Smith","Arizona State University",NA,NA,2003
54,"POR","Nedzad Sinanovic","International",NA,NA,2003
55,"MIN","Rick Rickert","University of Minnesota",NA,NA,2003
56,"BOS","Brandon Hunter","Ohio University",630,-0.5,2003
57,"DAL","Xue Yuyang","International",NA,NA,2003
58,"DET","Andreas Glyniadakis","International",81,-0.2,2003
1,"ORL","Dwight Howard","High School",33291,38.9,2004
2,"CHA","Emeka Okafor","University of Connecticut",18702,7.5,2004
3,"CHI","Ben Gordon","University of Connecticut",20366,4.7,2004
4,"LAC","Shaun Livingston","High School",15092,1.9,2004
5,"WAS","Devin Harris","University of Wisconsin",21552,13.7,2004
6,"ATL","Josh Childress","Stanford University",10432,8.6,2004
7,"PHO","Luol Deng","Duke University",30536,22.5,2004
8,"TOR","Rafael Araujo","Brigham Young University",1585,-1.8,2004
9,"PHI","Andre Iguodala","University of Arizona",33834,43,2004
10,"CLE","Luke Jackson","University of Oregon",724,-0.4,2004
11,"GSW","Andris Biedrins","International",11146,8.6,2004
12,"SEA","Robert Swift","High School",1500,-0.8,2004
13,"POR","Sebastian Telfair","High School",12149,-5.8,2004
14,"UTA","Kris Humphries","University of Minnesota",14232,0.1,2004
15,"BOS","Al Jefferson","High School",25815,14.9,2004
16,"UTA","Kirk Snyder","University of Nevada, Reno",3540,0,2004
17,"ATL","Josh Smith","High School",28988,30,2004
18,"NOH","J.R. Smith","High School",23730,14.5,2004
19,"MIA","Dorell Wright","High School",12280,7.4,2004
20,"DEN","Jameer Nelson","Saint Joseph's University",23526,13.2,2004
21,"UTA","Pavel Podkolzin","International",28,-0.1,2004
22,"NJN","Viktor Khryapa","International",2351,0.1,2004
23,"POR","Sergei Monia","International",343,-0.3,2004
24,"BOS","Delonte West","Saint Joseph's University",11842,7.6,2004
25,"BOS","Tony Allen","Oklahoma State University",17782,13.9,2004
26,"SAC","Kevin Martin","Western Carolina University",21559,11.3,2004
27,"LAL","Sasha Vujacic","International",8908,2,2004
28,"SAS","Beno Udrih","International",18185,2,2004
29,"IND","David Harrison","University of Colorado",2686,-1,2004
30,"ORL","Anderson Varejao","International",15051,13.3,2004
31,"CHI","Jackson Vroman","Iowa State University",1111,-0.5,2004
32,"WAS","Peter John Ramos","International",20,-0.1,2004
33,"LAC","Lionel Chalmers","Xavier University",433,-0.5,2004
34,"ATL","Donta Smith","Southeastern Illinois College",560,-0.2,2004
35,"SEA","Andre Emmett","Texas Tech University",73,-0.1,2004
36,"ORL","Antonio Burks","University of Memphis",789,-0.9,2004
37,"ATL","Royal Ivey","University of Texas at Austin",6162,-2.8,2004
38,"CHI","Chris Duhon","Duke University",15526,2,2004
39,"TOR","Albert Miralles","International",NA,NA,2004
40,"BOS","Justin Reed","University of Mississippi",1436,-1.4,2004
41,"SEA","David Young","North Carolina Central University",NA,NA,2004
42,"ATL","Viktor Sanikidze","International",NA,NA,2004
43,"NYK","Trevor Ariza","University of California, Los Angeles",25539,23.3,2004
44,"NOH","Tim Pickett","Florida State University",NA,NA,2004
45,"CHA","Bernard Robinson","University of Michigan",1909,0,2004
46,"POR","Ha Seung-Jin","International",316,-0.5,2004
47,"MIA","Pape Sow","California State University, Fullerton",879,-0.6,2004
48,"SAC","Ricky Minard","Morehead State University",NA,NA,2004
49,"MEM","Sergei Lishouk","International",NA,NA,2004
50,"DAL","Vassilis Spanoulis","International",272,-0.3,2004
51,"NJN","Christian Drejer","University of Florida",NA,NA,2004
52,"SAS","Romain Sato","Xavier University",NA,NA,2004
53,"MIA","Matt Freije","Vanderbilt University",588,-0.6,2004
54,"DET","Rickey Paulding","University of Missouri",NA,NA,2004
55,"HOU","Luis Flores","Manhattan College",77,-0.1,2004
56,"LAL","Marcus Douthit","Providence College",NA,NA,2004
57,"SAS","Sergei Karaulov","International",NA,NA,2004
58,"MIN","Blake Stepp","Gonzaga University",NA,NA,2004
59,"IND","Rashad Wright","University of Georgia",NA,NA,2004
1,"MIL","Andrew Bogut","University of Utah",19512,21.4,2005
2,"ATL","Marvin Williams","University of North Carolina",24891,9.9,2005
3,"UTA","Deron Williams","University of Illinois at Urbana-Champaign",28865,23.8,2005
4,"NOH","Chris Paul","Wake Forest University",29646,71.6,2005
5,"CHA","Raymond Felton","University of North Carolina",27085,10.4,2005
6,"POR","Martell Webster","High School",13914,4.6,2005
7,"TOR","Charlie Villanueva","University of Connecticut",13578,0.6,2005
8,"NYK","Channing Frye","University of Arizona",18736,9.1,2005
9,"GSW","Ike Diogu","Arizona State University",2795,-2,2005
10,"LAL","Andrew Bynum","High School",10690,9,2005
11,"ORL","Fran Vazquez","International",NA,NA,2005
12,"LAC","Yaroslav Korolev","International",168,-0.2,2005
13,"CHA","Sean May","University of North Carolina",1868,-0.2,2005
14,"MIN","Rashad McCants","University of North Carolina",5037,-0.6,2005
15,"NJN","Antoine Wright","Texas A&M University",5714,-1.5,2005
16,"TOR","Joey Graham","Oklahoma State University",6117,-2.8,2005
17,"IND","Danny Granger","University of New Mexico",18487,16.1,2005
18,"BOS","Gerald Green","High School",10624,-1,2005
19,"MEM","Hakim Warrick","Syracuse University",10624,-2.9,2005
20,"DEN","Julius Hodge","North Carolina State University",98,-0.1,2005
21,"PHO","Nate Robinson","University of Washington",13878,7.8,2005
22,"DEN","Jarrett Jack","Georgia Institute of Technology",22592,5.7,2005
23,"SAC","Francisco Garcia","University of Louisville",11853,4.9,2005
24,"HOU","Luther Head","University of Illinois at Urbana-Champaign",7797,3.2,2005
25,"SEA","Johan Petro","International",7262,-4,2005
26,"DET","Jason Maxiell","University of Cincinnati",11379,0.1,2005
27,"POR","Linas Kleiza","University of Missouri",8185,-0.9,2005
28,"SAS","Ian Mahinmi","International",7902,3.5,2005
29,"MIA","Wayne Simien","University of Kansas",507,-0.4,2005
30,"NYK","David Lee","University of Florida",24293,22.3,2005
31,"ATL","Salim Stoudamire","University of Arizona",2672,-2.1,2005
32,"LAC","Daniel Ewing","Duke University",1683,-0.7,2005
33,"NOH","Brandon Bass","Louisiana State University",16410,3.7,2005
34,"UTA","C.J. Miles","High School",14928,4.1,2005
35,"POR","Ricky Sanchez","International",NA,NA,2005
36,"MIL","Ersan Ilyasova","International",14863,7.2,2005
37,"LAL","Ronny Turiaf","Gonzaga University",8020,6,2005
38,"ORL","Travis Diener","Marquette University",2660,0.1,2005
39,"LAL","Von Wafer","Florida State University",2475,-0.7,2005
40,"GSW","Monta Ellis","High School",29011,12.3,2005
41,"TOR","Roko Ukic","International",987,-0.8,2005
42,"GSW","Chris Taft","University of Pittsburgh",144,0,2005
43,"NJN","Mile Ilic","International",6,-0.1,2005
44,"ORL","Martynas Andriuskevicius","International",9,0,2005
45,"PHI","Louis Williams","High School",18436,9.7,2005
46,"IND","Erazem Lorbek","International",NA,NA,2005
47,"MIN","Bracey Wright","Indiana University",325,-0.1,2005
48,"SEA","Mickael Gelabale","International",2348,0,2005
49,"WAS","Andray Blatche","High School",12462,5.4,2005
50,"BOS","Ryan Gomes","Providence College",13463,2.3,2005
51,"UTA","Robert Whaley","Walsh University",212,-0.1,2005
52,"DEN","Axel Hervelle","International",NA,NA,2005
53,"BOS","Orien Greene","University of Louisiana at Lafayette",1555,-0.7,2005
54,"NYK","Dijon Thompson","University of California, Los Angeles",93,-0.1,2005
55,"SEA","Lawrence Roberts","Mississippi State University",1150,0.2,2005
56,"DET","Amir Johnson","High School",16623,19.1,2005
57,"PHO","Marcin Gortat","International",17865,12.9,2005
58,"TOR","Uros Slokar","International",72,-0.1,2005
59,"ATL","Cenk Akyol","International",NA,NA,2005
60,"DET","Alex Acker","Pepperdine University",234,-0.3,2005
1,"TOR","Andrea Bargnani","International",15806,-0.9,2006
2,"CHI","LaMarcus Aldridge","University of Texas at Austin",27568,22.5,2006
3,"CHA","Adam Morrison","Gonzaga University",3278,-2.9,2006
4,"POR","Tyrus Thomas","Louisiana State University",7932,1.7,2006
5,"ATL","Shelden Williams","Duke University",5586,-1.2,2006
6,"MIN","Brandon Roy","University of Washington",11561,15.2,2006
7,"BOS","Randy Foye","Villanova University",19279,3.4,2006
8,"HOU","Rudy Gay","University of Connecticut",26815,16.8,2006
9,"GSW","Patrick O'Bryant","Bradley University",524,-0.2,2006
10,"SEA","Mouhamed Sene","International",260,-0.5,2006
11,"ORL","J.J. Redick","Duke University",17165,9.2,2006
12,"NOK","Hilton Armstrong","University of Connecticut",3378,-0.7,2006
13,"PHI","Thabo Sefolosha","International",17211,13.3,2006
14,"UTA","Ronnie Brewer","University of Arkansas",11539,10.7,2006
15,"NOK","Cedric Simmons","North Carolina State University",705,-0.7,2006
16,"CHI","Rodney Carney","University of Memphis",4600,-0.8,2006
17,"IND","Shawne Williams","University of Memphis",5368,0,2006
18,"WAS","Oleksiy Pecherov","International",1044,-1.3,2006
19,"SAC","Quincy Douby","Rutgers University",1535,-1.3,2006
20,"NYK","Renaldo Balkman","University of South Carolina",3064,2.2,2006
21,"PHO","Rajon Rondo","University of Kentucky",23045,22,2006
22,"NJN","Marcus Williams","University of Connecticut",3095,-2,2006
23,"NJN","Josh Boone","University of Connecticut",4482,0.1,2006
24,"MEM","Kyle Lowry","Villanova University",22058,31.5,2006
25,"CLE","Shannon Brown","Michigan State University",7329,-0.6,2006
26,"LAL","Jordan Farmar","University of California, Los Angeles",9840,1.6,2006
