"Rk","Tm","Player","College","MP_T","VORP","Year"
32,"PHI","Alphonso Ford","Mississippi Valley State University",114,-0.2,1993
33,"DAL","Eric Riley","University of Michigan",1844,-0.5,1993
34,"GSW","Darnell Mee","Western Kentucky University",293,-0.1,1993
35,"MIA","Ed Stokes","University of Arizona",17,0,1993
36,"NJN","John Best","Tennessee Technological University",NA,NA,1993
37,"LAL","Nick Van Exel","University of Cincinnati",28969,11.4,1993
38,"WSB","Conrad McRae","Syracuse University",NA,NA,1993
39,"IND","Thomas Hill","Duke University",NA,NA,1993
40,"ATL","Rich Manning","University of Washington",512,-1,1993
41,"CHI","Anthony Reed","Tulane University",NA,NA,1993
42,"SEA","Adonis Jordan","University of Kansas",97,-0.1,1993
43,"DEN","Josh Grant","University of Utah",382,-0.1,1993
44,"SAC","Alex Holcombe","Baylor University",NA,NA,1993
45,"UTA","Bryon Russell","California State University, Long Beach",19805,18.5,1993
46,"HOU","Richard Petruska","University of California, Los Angeles",92,-0.2,1993
47,"SAS","Chris Whitney","Clemson University",10052,2,1993
48,"POR","Kevin Thompson","North Carolina State University",58,-0.1,1993
49,"PHO","Mark Buford","Mississippi Valley State University",NA,NA,1993
50,"HOU","Marcelo Nicola","International",NA,NA,1993
51,"IND","Spencer Dunkley","University of Delaware",NA,NA,1993
52,"SAC","Mike Peplowski","Michigan State University",705,-0.2,1993
53,"LAC","Leonard White","Southern University and A&M College",NA,NA,1993
54,"PHO","Byron Wilson","University of Utah",NA,NA,1993
1,"MIL","Glenn Robinson","Purdue University",25346,10.3,1994
2,"DAL","Jason Kidd","University of California",50111,78.2,1994
3,"DET","Grant Hill","Duke University",34776,42.5,1994
4,"MIN","Donyell Marshall","University of Connecticut",25027,19.1,1994
5,"WSB","Juwan Howard","University of Michigan",36654,10.1,1994
6,"PHI","Sharone Wright","Clemson University",4531,-4.1,1994
7,"LAC","Lamond Murray","University of California",18477,1.4,1994
8,"SAC","Brian Grant","Xavier University",21417,10.4,1994
9,"BOS","Eric Montross","University of North Carolina",8479,-3,1994
10,"LAL","Eddie Jones","Temple University",32778,45.1,1994
11,"SEA","Carlos Rogers","Tennessee State University",5654,0.2,1994
12,"MIA","Khalid Reeves","University of Arizona",5837,0.6,1994
13,"DEN","Jalen Rose","University of Michigan",27925,11.9,1994
14,"NJN","Yinka Dare","George Washington University",1002,-2,1994
15,"IND","Eric Piatkowski","University of Nebraska",14613,5.5,1994
16,"GSW","Clifford Rozier","University of Louisville",2984,-0.1,1994
17,"POR","Aaron McKie","Temple University",19156,12.9,1994
18,"MIL","Eric Mobley","University of Pittsburgh",1570,-0.8,1994
19,"DAL","Tony Dumas","University of Missouri-Kansas City",2222,-1.6,1994
20,"PHI","B.J. Tyler","University of Texas at Austin",809,-1.1,1994
21,"CHI","Dickey Simpkins","Providence College",5201,-2.3,1994
22,"SAS","Bill Curley","Boston College",1614,-0.6,1994
23,"PHO","Wesley Person","Auburn University",20727,13.8,1994
24,"NYK","Monty Williams","University of Notre Dame",7624,0.5,1994
25,"LAC","Greg Minor","University of Louisville",5144,-0.3,1994
26,"NYK","Charlie Ward","Florida State University",14080,13.3,1994
